modality,feature,baseline,current,fatigue_score,relative_change,normalized_effect,raw_sigmoid,weight,direction,expected_change,contribution,better_than_baseline
voice,dLPC,0.42,0.40541711639515426,-0.0865855149440774,-0.0347211506134148,-0.17360574438678678,0.4567072425279613,0.8,1,0.2,-0.06926841195526193,True
voice,PARCOR,0.55,0.5820240785066524,0.28317264893236094,0.05822559622617523,0.5822559040361619,0.6415863244661805,0.77,1,0.1,0.21804293967791794,False
voice,LPC,0.61,0.581660813539662,-0.19119157166661127,-0.04645768196026415,-0.3871473174065915,0.40440421416669436,0.76,1,0.12,-0.14530559446662455,True
voice,Pitch,120.0,121.3319471290771,0.18291084932989232,0.011099559408050816,0.3699852928619627,0.5914554246649462,0.76,1,0.18,0.13901224549071817,False
voice,MFCC,0.5,0.538821008968623,0.012130969319606555,0.07764201638440556,0.024263128876641376,0.5060654846598033,0.75,1,0.2,0.009098226989704916,False
eye,fixation_duration,0.22,0.2773991674799871,0.5633781769042696,0.26090529486788255,1.2755368298948164,0.7816890884521348,1.0,1,0.5,0.5633781769042696,False
eye,fixation_count,120.0,102.33965599201507,-1.0,-0.14716953338761032,-196.22603034493355,6.027230706243751e-86,0.9,1,0.45,-0.9,True
eye,saccade_count,150.0,182.08072234159985,1.0,0.21387148226307423,265.12991981785717,1.0,1.0,1,0.55,1.0,False
game,score,85.0,75.0,0.5164076382544835,-0.11764705880968859,-1.1428570966818747,0.7582038191272418,0.82,-1,0.25,0.4234542633686765,False
subjective,fatigue_self,,5.0,0.0,,0.0,,0.0,1,,0.0,False
subjective,sleep_last,,6.0,-0.5,,-0.5,,0.0,-1,,-0.0,True
subjective,sleep_previous,,6.0,-0.5,,-0.5,,0.0,-1,,-0.0,True
